"input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"w1_finland_nmr_metabolomics_triglycerides_in_large_hdl","642",TRUE,FALSE,1,NA,"BM00087",NA,"[W1 Finland NMR Metabolomics] Triglycerides in large HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_large_ldl","466",TRUE,FALSE,1,NA,"BM00059",NA,"[W1 Finland NMR Metabolomics] Triglycerides in large LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_large_vldl","246",TRUE,FALSE,1,NA,"BM00024",NA,"[W1 Finland NMR Metabolomics] Triglycerides in large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_ldl","816",TRUE,FALSE,1,NA,"BM00186",NA,"[W1 Finland NMR Metabolomics] Triglycerides in LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_medium_hdl","686",TRUE,FALSE,1,NA,"BM00094",NA,"[W1 Finland NMR Metabolomics] Triglycerides in medium HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_medium_ldl","510",TRUE,FALSE,1,NA,"BM00066",NA,"[W1 Finland NMR Metabolomics] Triglycerides in medium LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_medium_vldl","290",TRUE,FALSE,1,NA,"BM00031",NA,"[W1 Finland NMR Metabolomics] Triglycerides in medium VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_small_hdl","730",TRUE,FALSE,1,NA,"BM00101",NA,"[W1 Finland NMR Metabolomics] Triglycerides in small HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_small_ldl","554",TRUE,FALSE,1,NA,"BM00073",NA,"[W1 Finland NMR Metabolomics] Triglycerides in small LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_small_vldl","334",TRUE,FALSE,1,NA,"BM00038",NA,"[W1 Finland NMR Metabolomics] Triglycerides in small VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_very_large_hdl","596",TRUE,FALSE,1,NA,"BM00080",NA,"[W1 Finland NMR Metabolomics] Triglycerides in very large HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
