"uid_01","hmdb_id","biochemical"
"HMDB00650#HMDB00650_M32348","HMDB0000650#HMDB0000650","D-Alpha-aminobutyric acid#D-Alpha-aminobutyric acid"
"HMDB11172#HMDB11172_M32393","HMDB0011172#HMDB0011172","gamma-Glutamylvaline#gamma-Glutamylvaline"
"CHEM100004111#CHEM100004111_M32557","#","4-methylcatechol sulfate#4-methylcatechol sulfate (X - 06126) TWINSUK V4-M32557"
"COMP32616_46592#COMP32616_46592_M32616","#","X - 11299#X - 11299 TWINSUK V4-M32616"
"COMP32632_46609_49592_49613#COMP32632_46609_49592_49613_M32632","#","X - 11315#X - 11315 TWINSUK V4-M32632"
"HMDB11507#HMDB11507_M32635","HMDB0011507#HMDB0011507","LysoPE(18:2(9Z,12Z)/0:0)#LysoPE(18:2(9Z,12Z)/0:0)"
"CHEM100001540#CHEM100001540_M32672","#","Pyroglutamine*#Pyroglutamine* TWINSUK V4-M32672"
"CHEM100001949_100006379#CHEM100001949_100006379_M32675","#","C-glycosyltryptophan#C-glycosyltryptophan TWINSUK V4-M32675"
"COMP32689_46594#COMP32689_46594_M32689","#","X - 11372#X - 11372 TWINSUK V4-M32689"
"CHEM100005384#CHEM100005384_M32740","#","O-sulfo-L-tyrosine or X - 11423#O-sulfo-L-tyrosine or X - 11423 TWINSUK V4-M32740"
"COMP32758_46360#COMP32758_46360_M32758","#","X - 11441#X - 11441 TWINSUK V4-M32758"
"COMP32759_46443#COMP32759_46443_M32759","#","X - 11442#X - 11442 TWINSUK V4-M32759"
"COMP32761_46460_37727#COMP32761_46460_37727_M32761","#","X - 11444 or X - 15479#X - 11444 or X - 15479 TWINSUK V4-M32761"
"COMP32787_46601#COMP32787_46601_M32787","#","X - 11470#X - 11470 TWINSUK V4-M32787"
"COMP32795_46602#COMP32795_46602_M32795","#","X - 11478#X - 11478 TWINSUK V4-M32795"
"COMP32808_47651#COMP32808_47651_M32808","#","X - 11491#X - 11491 TWINSUK V4-M32808"
"COMP32847_46603#COMP32847_46603_M32847","#","X - 11530#X - 11530 TWINSUK V4-M32847"
"CHEM100004542#CHEM100004542_M33163","#","2-aminoheptanoate or 2-aminoheptanoic acid#2-aminoheptanoate or 2-aminoheptanoic acid (X - 11818) TWINSUK V4-M33163"
"HMDB00208#HMDB00208_M33453","HMDB0000208#HMDB0000208","Oxoglutaric acid#Oxoglutaric acid"
