Unnamed: 0,input_hmdb_id,input_pubchem,metabolite_id,input_metabolite_name_final,original_index,contains_original,contains_derived,n_source_rows,input_metabolite_name,input_chemspider,input_kegg,input_inchikey,input_chebi,multiple_identifiers,multiple_isomers,original
54,,,BIOCHEM_ASPARA,asparatime,54,True,False,1.0,asparatime,,,,,False,True,
55,,,BIOCHEM_HYDSEBCARNITINE,3_hydroxy_dodecanoyl carnitine or sebacoyl carnitine,35,True,False,1.0,3-Hydroxy-dodecanoyl carnitine or Sebacoyl carnitine,,,,,False,True,
55,,,BIOCHEM_HYDSEBCARNITINE,3_hydroxy_dodecanoyl carnitine,55,True,False,1.0,3-Hydroxy-dodecanoyl carnitine,,,,,False,True,
55,,,BIOCHEM_HYDSEBCARNITINE,sebacoyl carnitine,55,True,False,1.0,Sebacoyl carnitine,,,,,False,True,
56,,,BM00183,total plasma free cholesterol mg_dl,793,True,False,1.0,Total Plasma Free Cholesterol mg/dL,,,,,False,False,
57,,,BM00184,total plasma triglycerides mg_dl,800,True,False,1.0,Total Plasma Triglycerides mg/dL,,,,,False,False,
58,,,BM00189,tg_pg,835,True,False,1.0,TG/PG,,,,,False,True,
58,,,BM00189,tg,58,True,False,1.0,TG,,,,,False,True,
58,,,BM00189,pg,58,True,False,1.0,PG,,,,,False,True,
59,,,BM00195,apob_apoa1,858,True,False,1.0,ApoB/ApoA1,,,,,False,True,
59,,,BM00195,apob,59,True,False,1.0,ApoB,,,,,False,True,
59,,,BM00195,apoa1,59,True,False,1.0,ApoA1,,,,,False,True,
60,,,C4_DC,methylmalonyl_succinylcarnitine,1567,True,False,1.0,methylmalonyl-/succinylcarnitine,,,,,False,False,
61,,,CHEBI21949,butyryl carnitine or isobutyryl carnitine,1635,True,False,1.0,Butyryl carnitine or Isobutyryl carnitine,,,,,False,True,
61,,,CHEBI21949,butyryl carnitine,61,True,False,1.0,Butyryl carnitine,,,,,False,True,
61,,,CHEBI21949,isobutyryl carnitine,61,True,False,1.0,Isobutyryl carnitine,,,,,False,True,
62,,,CHEM100003926_HMDB02095,3_hydroxy_isovaleryl carnitine or malonyl carnitine,2022,True,False,1.0,3-Hydroxy-isovaleryl carnitine or Malonyl carnitine,,,,,False,True,
62,,,CHEM100003926_HMDB02095,3_hydroxy_isovaleryl carnitine,62,True,False,1.0,3-Hydroxy-isovaleryl carnitine,,,,,False,True,
62,,,CHEM100003926_HMDB02095,malonyl carnitine,62,True,False,1.0,Malonyl carnitine,,,,,False,True,
63,,,CHEM100005371,1_dihomo_linolenoyl_gpe_20_3n3 or 6,2083,True,False,1.0,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,,,,,False,True,
63,,,CHEM100005371,1_dihomo_linolenoyl_gpe_20_3n3_,63,True,False,1.0,1-dihomo-linolenoyl-GPE (20:3n3) *,,,,,False,True,
63,,,CHEM100005371,1_dihomo_linolenoyl_gpe_20_3n6_,63,True,False,1.0,1-dihomo-linolenoyl-GPE (20:3n6) *,,,,,False,True,
64,,,CHEM100006115,arabonate_xylonate,2132,True,False,,arabonate/xylonate,,,,,False,True,True
64,,,CHEM100006115,arabonate,64,True,False,,arabonate,,,,,False,True,True
64,,,CHEM100006115,xylonate,64,True,False,,xylonate,,,,,False,True,True
65,,,CHEM100006173,pregnanolone_allopregnanolone sulfate,2153,True,False,1.0,pregnanolone/allopregnanolone sulfate,,,,,False,True,
65,,,CHEM100006173,pregnanolone,65,True,False,1.0,pregnanolone,,,,,False,True,
65,,,CHEM100006173,allopregnanolone sulfate,65,True,False,1.0,allopregnanolone sulfate,,,,,False,True,
66,,,CHEM100006438,citraconate_glutaconate,2195,True,False,1.0,citraconate/glutaconate,,,,,False,True,
66,,,CHEM100006438,citraconate,66,True,False,1.0,citraconate,,,,,False,True,
66,,,CHEM100006438,glutaconate,66,True,False,1.0,glutaconate,,,,,False,True,
